seller,buyer_pe_firm,buyer_platform,industry,keywords,transaction_year,city,state,has_press_release,press_release_link
SWM International,Pelican Energy Partners,,Manufacturer of perforating guns,"perforating guns, O&G, fracking",2019,Pampa,TX,Y,"Pelican Energy Partners acquires SWM International, Inc."
JOBS / AMST,Keystone Capital,,Comercial Window Cleaning / Elevator modernization,Highrise window cleaning - elevator repair & modernization,2019,Houston,TX,Y,Keystone Capital acquires JOBS/ AMST - Flatirons Capital Advisors
PCS Mobile,,Route 1,Telecommunications,"mobile data applications, including wireless products for in-vehicle use - state-of-the-art mobile devices for a wide range of applications including utilities, telecommunications, field services, insurance, healthcare, Fire/EMT, police and public safety – as well as state and local government",2019,Denver,CO,Y,Route1 Closes the Purchase of PCS Mobile - Flatirons Capital Advisors
West Texas Plastics,Tailwind Capital,,Geomembrane Liners,"commercial liners, ponds, floating frac tank covers",2015,Odessa,TX,N,
Marc USA,,Eastport Holdings,Advertising agency,"advertising, digital advertising",2015,Pittsburgh,PA,Y,Eastport Holdings Acquires Marc USA - Flatirons Capital Advisors
BBB Tank Services Inc,,Mainstreet Capital,Tank construction,"petroleum tanks, oil tanks",2015,Baytown,TX,Y,BBB Tank Inc Acquired by Turning Basin Capital Partner and Main Street Capital Corp
Twilight Services,SCF Partners,Centurion,Oil & Gas equipment rental,"light tower rentals, generator rentals, O&G field services",2015,Midland,TX,N,
Majewski Transportation,Southworth Capital Management,River Horse Logistics,Trucking Company,"trucking company, LTL, 3PL, warehousing",2015,Houston,TX,Y,"(10) Flatirons Capital Advisors Announces the Acquisition of Majewski Transportation, Inc., by River Horse Logistics, LLC. | LinkedIn"
Fire Protection Concepts Inc,Audax Private Equity,Academy Fire,Fire & life safety,"fire inspection, sprinklers, alarms",2015,Golden,CO,Y,AI Fire acquires Fire Protection Concepts Inc. - Flatirons Capital Advisors
Colorado Lining International,,Raven Industries,Geomembrane Liners,"commercial liners, ponds, floating frac tank covers",2017,Denver,CO,Y,Raven Industries (NASDAQ:RAVN) Acquires Colorado Lining International Inc - Flatirons Capital Advisors
OnePoint BPO Services,Private Investor,,BPO services,integrated business process outsourcing,2016,Boulder,CO,Y,Recapitalization of OnePoint BPO Services - Flatirons Capital Advisors
Saul's Seismic,Lazarus Capital Partners,,Seismic services,"seismic and environmental services, seismic monitoring",2015,Birmingham,AL,N,
IQDestinations,MVC Capital,,Travel Agency,travel agency,2015,Miami,FL,N,
Ceres Technology Group,,All Copy Products,IT Consulting,"Information technology, MSP, phone systems",2016,Boulder,CO,Y,All Copy Products Acquires Ceres Technology Group
Pacific Cabinets Inc,,ESOP,Custom cabinets,"custom cabinets, commercial, industrial & labs",2016,Ferdinand,ID,N,
Sound Perfection Inc,,SP Technologies,Audio video equipment,AV equipment,2016,Dallas,TX,N,
Another Line Inc,Kinderhook Industries,Lodis Accessories,Designer Handbags,designer handbags,2015,Miami,FL,Y,Lodis Accessories - Kinderhook Industries
Mossberg & Midwest Sanitation,Larsen MacColl,,Waste Management,"garbage collection, industrial cleaning services",2015,Great Bend,KS,N,
Metro State Fire,Audax Private Equity,Academy Fire,Fire & life safety,"fire inspection, sprinklers, alarms",2017,Denver,CO,Y,Academy Fire Life Safety Acquires Metro State Fire - Flatirons Capital Advisors
Whitworth Tool Inc,Capital For Business Inc,,Precision Machining,"CNC machines, tools,",2015,Hardinsburg,KY,N,
Inter-American Oil Works Inc,Lone Star Investment Advisors,,Drilling Rig Equipment Manufacturer,"drilling rig equipment, air compressors, torque converters",2015,Midland,TX,N,
Permian Fabrication & Services LP,,NOV - National Oilwell Varco,Oil well equipment,oil well equipment,2015,Midland,TX,N,
Rocky Mountain Medical Equipment Inc,Audax Private Equity,ATG - Colorado,DME,durable medical equipment,2015,Colorado Springs,CO,N,
Recon Petrotechnologies,PMC Financial Services Group,,Well Logging,"open hole well logging, O&G, cased hole logging",2015,"Edmonton, AB",Canada,N,
Key Enterprises Inc,,Open Road Brands,Licensed accessories,"licensed corporate gifts, promotional products",2015,Atlanta,GA,N,
Johnston's Corner,,Travel Centers of America,Truck Stop & Café,"truck stop, fuel station, café",2015,Johnstown,CO,Y,TA Acquires Iconic Johnson's Corner Truckstop
Jim Myers Drugs Inc,,Walgreen,retail pharmacy,retail pharmacy,2015,Tuscaloosa,AL,Y,Report: Walgreen Co. to buy Tuscaloosa pharmacy - al.com
Hammer's Quality Business Systems,,Safeguard Business Systems,"Promotional Products, print services","promotional products, print services",2015,Carrollton,TX,N,
Gulf & Basco,Kodiak Building Partners,,Kitchen cabinets & appliances,kitchen cabinets and appliances,2015,Houston,TX,N,
Essco Discount Drugs,,CVS,retail pharmacy,retail pharmacy,2015,Yazoo City,MS,N,
BLR Further,,Eastport Holdings,Advertising agency,"advertising, digital advertising",2015,Birmingham,AL,N,
Digital Imaging & Laser Products,,Copynet Office Systems,Copy service & printers,copy service & printers,2015,Dallas,TX,N,
Burlington Pharmacy Healthcare,,Walgreens,retail pharmacy,retail pharmacy,2015,Burlington,KY,N,
Bond Coat Inc,Main Street Capital Corp,,Pipe casing,external casing and tubing coatings for corrosion prevention,2015,Odessa,TX,N,
Asher Agency,,Eastport Holdings,Advertising agency,"advertising, digital advertising",2015,South Bend,IN,N,
The Arnold Agency,Eastport Holdings,Asher Agency,Advertising agency,"advertising, digital advertising",2015,Charleston,WV,N,
Signal One Fire & Communications,,API Group,Fire & life safety,"fire inspection, sprinklers, alarms",2015,Phoenix,AZ,Y,A Growing Company | APi National Service Group
Breckenridge Ski Enterprises Inc,,Vail Resort,Retail ski apparrel,"ski apparrel, North Face, Columbia, Spyder",2015,Breckenridge,CO,Y,Vail Resorts Retail Enters Asset Purchase Agreement with Breckenridge Ski Enterprises Inc - Flatirons Capital Advisors
UCH Pharmaceutical Services,,Walgreens,retail pharmacy,retail pharmacy,2015,Indianapolis,IN,N,
Vancouver Oil Company,,Jubitz Corp,Petroleum & Lubricant Distributor,petroleum & lubricants,2015,Vancouver,WA,N,
Bid4Vacations.com,,ICE - International Cruise Excursions,online travel agency,online travel agency,2015,Miami,FL,N,
SimAuthor Inc,,Westar Aerospace & Defense Group,Aerospace,"specialized technology and engineering solutions and services to the Department of Defense, U.S. Government agencies and aerospace industry customers.",2015,Saint Charles,MO,N,
